Nos. in Cat.,New Nos. by order,RA Hours,RA Time Minutes,RA Time Seconds,RA Degrees,RA Minutes,RA Seconds,Declin. Degrees,Declin. Minutes,Declin. Seconds,Declin. Direction,Name
31,1,0,29,46,7,26,32,39,9,32,N,Andromeda Nebula.
32,2,0,29,50,7,27,32,38,45,34,N,Small Neb. below And Nebula.
33,3,1,40,37,20,9,17,29,32,25,N,Neb. near the N. Fish.
34,4,2,27,27,36,51,37,41,39,32,N,Cluster of St. near the Head of the Medusa.
45,5,3,33,48,53,27,4,23,22,41,N,Cluster. Pleiades.
38,6,5,12,41,78,10,12,36,11,51,N,Cluster in the Charioteer [Auriga].
1,7,5,20,2,80,0,33,21,45,27,N,Neb. in the horn of the Bull.
36,8,5,20,47,80,11,42,34,8,6,N,Cluster in the Charioteer.
42,9,5,23,59,80,59,40,5,34,6,S,Neb. in the sword of Orion.
43,10,5,24,12,81,3,0,5,26,37,S,Small Neb. above that in the sword of Orion.
37,11,5,37,1,84,15,12,32,11,51,N,Cluster in the Charioteer.
35,12,5,54,41,88,40,9,24,33,30,N,Cluster near the foot of Castor.
41,13,6,35,53,98,58,12,20,33,0,S,Cluster near Sirius.
50,14,6,51,50,102,57,28,7,57,42,S,Cluster near the Unicorn [Monoceros]
46,15,7,31,11,112,47,42,14,19,7,S,Cluster near the head of the Great Dog.
47,16,7,44,16,116,3,58,14,50,8,S,Cluster near the preceding.
48,17,8,2,24,120,36,0,1,16,42,S,Cluster near the tail of the Unicorn.
67,18,8,36,28,129,6,57,12,36,38,N,Cluster in Cancer.
65,19,11,7,24,166,50,54,14,16,8,N,Neb. in the Lion.
66,20,11,8,47,167,11,39,14,12,21,N,Neb. in the Lion.
40,21,12,11,2,182,45,30,59,23,50,N,Two st. [near] tail of the Great Bear.
49,22,12,17,48,184,26,58,9,16,9,N,Neb. in the Virgin.
58,23,12,26,30,186,37,23,13,2,42,N,Neb. in the Virgin.
68,24,12,27,38,186,54,33,25,30,20,S,Neb. near the Raven [Corvus].
59,25,12,30,47,187,41,38,12,52,36,N,Neb. in the Virgin.
